Email Text,Label
"Subject: Payment failed — update billing info

Hello,

Your recent payment failed. Update your billing information to avoid service interruption: http://example.com/billing

Billing Team",1
"Subject: Verify your device to continue

Hi,

We need to verify your device before you can sign in: http://example.com/device-verify

Support",1
"Subject: Release: Security Patch Notes

Dear User,

A security patch was released for the platform. No action is needed from your side.

Product Security",0
"Subject: Action needed: Confirm new beneficiary

Hi,

A beneficiary was added to your account. Confirm if authorized: http://example.com/confirm-beneficiary

Finance",1
"Subject: Confirmation: Account Linked Successfully

Hello,

Your account has been linked with the external service successfully.

Support",0
"Subject: Free gift card for you — verify details

Hi,

We have a free gift card waiting. Verify your eligibility: http://example.com/gift

Offers Team",1
"Subject: Your subscription will renew — verify payment

Hi,

Your subscription is about to renew. Confirm payment details: http://example.com/confirm-renewal

Subscriptions",1
"Subject: Alert: Unauthorized payment method added

Hello,

A new payment method was added to your account. If this wasn't you, review here: http://example.com/payment-methods

Security Team",1
"Subject: Confirmation: Hotel Reservation

Dear Guest,

Your hotel reservation is confirmed. We look forward to welcoming you.

Reservations",0
"Subject: Welcome — Your Account is Active

Hi,

Your account is now active. You can log in and start using the service.

Onboarding Team",0
"Subject: Course Enrollment Confirmation

Hi,

You're now enrolled in the online course. Access details have been sent to your student portal.

Education Team",0
"Subject: Invitation: Networking Breakfast

Dear Colleague,

Join us for a networking breakfast next Wednesday. RSVP to reserve your seat.

Community Team",0
"Subject: Confirm your donor account details

Hi,

Please confirm your donor details to continue supporting causes: http://example.com/donor

Donations",1
"Subject: Monthly Usage Summary

Dear Customer,

Here is your monthly usage summary with helpful tips to optimize your plan.

Support Team",0
"Subject: Update required: Terms of service change

Hi,

Please review and accept the updated terms of service: http://example.com/terms

Legal",1
"Subject: Important: Update your account settings

Hello,

We updated our terms. Review and accept the new settings: http://example.com/settings

Support",1
"Subject: Alert: Suspicious device connected

Hi,

A new device connected to your account. Review and remove if unknown: http://example.com/devices

Security Team",1
"Subject: Your Reservation Reminder

Dear Guest,

This is a reminder for your reservation tomorrow evening. Please contact us for any changes.

Reservations",0
"Subject: Project Proposal Feedback

Hi,

Thanks for the proposal. Please see my comments inline and let's discuss tomorrow.

Regards,
Colleague",0
"Subject: Verify your professional account

Hello,

Please verify your professional account to access employer resources: http://example.com/pro-verify

Employer Support",1
"Subject: Subscription Renewal Notice

Dear User,

Your subscription will renew on August 1. No action is required unless you wish to cancel.

Support Team",0
"Subject: Your License Renewal Reminder

Hello,

Your license will expire soon. Please complete the renewal to avoid service interruption.

Licensing",0
"Subject: Notice: Policy Renewal Reminder

Hi,

Your policy is up for renewal soon. Review the options and renew if desired.

Insurance Team",0
"Subject: Account suspension warning

Hi,

Your account will be suspended unless you verify it now: http://example.com/unsuspend

Support",1
"Subject: Your voicemail is waiting

Hi,

You have a new voicemail. Listen now: http://example.com/voicemail

Voicemail Service",1
"Subject: Your Order Has Been Delivered

Dear Customer,

We're happy to inform you that your order was delivered successfully.

E-commerce Team

Note: This is a confirmation message.",0
"Subject: Important: Review your insurance claim

Hi,

Your insurance claim needs additional verification. Review here: http://example.com/claim

Insurance Support",1
"Subject: Unauthorized login detected — reset password

Dear User,

We blocked a suspicious login. Reset your password immediately: http://example.com/reset-password

Security",1
"Subject: System Access Granted

Hello,

Access to the requested system has been granted. Use your credentials to log in.

IT Admin",0
"Subject: Security Update Applied

Hello,

A security update was applied to your account. No action is required.

IT Security

Note: This is a confirmation message.",0
"Subject: Newsletter: Tips for Remote Work

Hi,

In this edition we share best practices for staying productive while working remotely.

Editorial Team",0
"Subject: Important: Confirm your travel booking

Dear Customer,

Confirm your travel itinerary to secure your seat: http://example.com/confirm-booking

Travel Desk",1
"Subject: Payment Confirmation — Utility

Hi,

Your utility payment was received. Thank you for paying on time.

Billing Dept",0
"Subject: Confirmation: Scholarship Award

Hello,

Congratulations! You've been awarded a scholarship. Details are in the attached letter.

Admissions",0
"Subject: Verify your identity for background check

Hi,

We need additional documents to complete your background check: http://example.com/background

HR Team",1
"Subject: Important: Verify your healthcare portal

Hello,

You must verify your account to view medical records: http://example.com/health-verify

Healthcare Portal",1
"Subject: Confirmation: Donation Received

Hello,

Thank you for your generous donation. A receipt has been emailed to you.

Charity Org",0
"Subject: Action required: Confirm your API key

Hello,

Confirm your API key details to continue using the developer platform: http://example.com/api-verify

Developer Support",1
"Subject: Important: Confirm your telehealth appointment

Dear Patient,

Confirm your telehealth appointment details here: http://example.com/telehealth

Clinic Support",1
"Subject: Confirm delivery details for your order

Dear Customer,

Please confirm your delivery date: http://example.com/confirm-delivery

E-commerce Team",1
"Subject: Notice: Account limit reached

Hi,

Your storage limit is nearly full. Clear space or upgrade: http://example.com/upgrade

Storage Team",1
"Subject: Your account received a security notice

Hello,

Review the security notice for your account: http://example.com/security-notice

Security Team",1
"Subject: Monthly Newsletter — Community Highlights

Hi,

This month's newsletter features community projects and member stories.

Community Team",0
"Subject: Payment Received — Thank You

Dear Customer,

We received your payment. Thank you for settling invoice #8873.

Billing Department",0
"Subject: Reminder: Course Assignment Deadline

Hi,

This is a reminder that the assignment is due Sunday at midnight. Submit via the portal.

Instructor",0
"Subject: Confirmation: Medical Test Results

Hello,

Your medical test results are available. Please log in to view them securely.

Clinic",0
"Subject: Team Outing — RSVP

Hi Everyone,

We're planning a team outing next Friday. Please RSVP by Wednesday so we can confirm numbers.

Regards,
HR",0
"Subject: Your email storage is almost full

Hello,

Clear storage or upgrade your plan here: http://example.com/upgrade-storage

Mail Service",1
"Subject: Invitation: Beta Feedback Session

Hello,

We invite you to provide feedback in our beta session. Your input is valuable to us.

Product Research",0
"Subject: New Feature Release Notes

Hi,

We've released new features this week. See the release notes for details and instructions.

Product Team",0
"Subject: Team Meeting Notes Attached

Hi,

Meeting notes from today's session are attached. Please review and add any missing points.

Team Lead

Note: This is a confirmation message.",0
"Subject: Confirmation: Course Completion

Dear Student,

Congratulations on completing the course. Your certificate is available for download.

Education Team",0
"Subject: Important: Password Reset Request

Hi,

We received a request to reset your password. If this wasn't you, please secure your account at http://example.com/reset

Security Team",1
"Subject: Confirmation: Scholarship Award

Hello,

Congratulations! You've been awarded a scholarship. Details are in the attached letter.

Admissions

Note: This is a confirmation message.",0
"Subject: Urgent: Verify your cloud storage access

Dear User,

Verify access to your cloud storage here: http://example.com/cloud-verify

Cloud Support",1
"Subject: Appointment Confirmation — Dental Clinic

Hello,

Your dental appointment is confirmed for June 12 at 3:30 PM. Please arrive 10 minutes early.

Sincerely,
Clinic Reception",0
"Subject: Confirmation: Service Appointment

Hi,

Your service appointment is confirmed. Our technician will arrive between 1-3 PM.

Support",0
"Subject: Invoice for Your Recent Purchase

Hello,

Thank you for your purchase. Attached is the invoice for your order #45231. Let us know if you have any questions.

Regards,
Sales Team",0
"Subject: Thank You for Your Purchase

Dear Customer,

We appreciate your purchase. Your order is being processed and will ship soon.

Sales",0
"Subject: Action required: Accept updated privacy policy

Hello,

Please accept our updated privacy policy to continue using the service: http://example.com/privacy

Legal Team",1
"Subject: Reminder: Library Book Due

Hi,

Your borrowed library book is due in 3 days. Please return or renew it.

Library Services",0
"Subject: Update: Office Holiday Schedule

Hello Team,

The office will be closed next Monday for the public holiday. Enjoy your time off!

Management",0
"Subject: Invitation: Product Demo

Dear Guest,

You're invited to a product demo next Thursday. Register to secure your spot.

Sales Team",0
"Subject: Important: Link your bank account for refunds

Dear Customer,

Link your bank account to receive refunds: http://example.com/link-bank

Refunds Department",1
"Subject: Confirm billing address for your order

Hi,

We need to confirm your billing address before shipping: http://example.com/billing-address

Orders",1
"Subject: Thank You for Your Feedback

Hi,

We appreciate your feedback and will consider it for future improvements.

Customer Success",0
"Subject: Immediate action required: Verify identity

Hi,

We need to confirm your identity to proceed. Upload documents here: http://example.com/identity

Verification Team",1
"Subject: Your Feedback Matters

Hello,

Please take a short survey to help us improve our services. It should take less than 3 minutes.

Customer Experience",0
"Subject: Final Warning: Confirm account ownership

Hi,

This is your final warning to confirm account ownership: http://example.com/confirm-ownership

Account Team",1
"Subject: Invitation: Join Our Advisory Panel

Hi,

We invite you to join our advisory panel. Share your insights and help shape the product.

Research Team",0
"Subject: Congratulations — You've won a prize!

Dear Winner,

You've been selected to receive a gift. Claim your prize by completing this form: http://example.com/claim

Promotions",1
"Subject: Security Alert: Unusual sign-in attempt

Dear User,

We noticed a sign-in from a new device. If this wasn't you, please review activity: http://example.com/security

Account Security",1
"Subject: Unusual activity on your merchant account

Hi,

We noticed an unusual transaction in your merchant account. Review immediately: http://example.com/merchant

Payments Team",1
"Subject: Your Account Activity Summary

Hi,

Here's a summary of your account activity for the past month. Let us know if you notice anything unusual.

Support",0
"Subject: Verify your email to keep your account

Hello,

Your account will be deactivated unless you verify your email address within 24 hours: http://example.com/verify-email

Support",1
"Subject: New message from HR — open now

Hello,

HR sent you a confidential message. View it here: http://example.com/hr-message

HR Department",1
"Subject: Welcome to Our Service

Hello,

Welcome aboard! We're glad to have you. Your account setup is almost complete.

Customer Success",0
"Subject: Important Tax Document Available

Dear Taxpayer,

Your tax documents are now available in your account. Download them at your convenience.

Tax Services",0
"Subject: Appointment Reminder — Car Service

Hello,

Reminder: Your car service appointment is scheduled for July 4 at 9:00 AM.

Service Center",0
"Subject: Important: Change to your delivery address

Hello,

We couldn't confirm your delivery address. Please update it here: http://example.com/update-address

Shipping Dept",1
"Subject: Reminder: Submit Timesheets

Hello Team,

Please submit your timesheets by Friday end of day to ensure timely payroll processing.

Operations",0
"Subject: Your Subscription Preferences Updated

Hi,

Your email preferences have been updated as requested.

Support Team",0
"Subject: Urgent: Confirm your bank account details

Dear Customer,

We detected suspicious activity on your account. Please verify your information immediately by visiting your account page: http://example.com/verify

Thank you,
Bank Security Team",1
"Subject: Order Confirmation — Electronics

Dear Customer,

Thank you for your order. Your confirmation number is ORD45678.

E-commerce",0
"Subject: Urgent: Verify your domain ownership

Dear User,

Verify domain ownership to avoid downtime: http://example.com/verify-domain

Hosting Support",1
"Subject: Verify to receive attendance certificate

Dear Participant,

Confirm your details to receive the event certificate: http://example.com/certificate

Events",1
"Subject: Action required: Confirm attendee details

Hello,

Please confirm your details for the upcoming event: http://example.com/event-confirm

Event Team",1
"Subject: Security Update Applied

Hello,

A security update was applied to your account. No action is required.

IT Security",0
"Subject: Confirm your mobile number

Dear User,

Please confirm your mobile number to restore access: http://example.com/confirm-phone

Support Team",1
"Subject: Urgent: Payment verification required

Dear Customer,

We need to verify your recent payment. Confirm now: http://example.com/payment-verify

Payments",1
"Subject: New Comment on Your Blog Post

Hello,

Someone commented on your post. Log in to reply and engage with the reader.

Blog Admin",0
"Subject: Reminder: Update Emergency Contacts

Dear Staff,

Please update your emergency contact information in the HR portal.

HR",0
"Subject: New login from unknown location

Dear User,

A login from a new location was detected. Review activity: http://example.com/review

Security Alerts",1
"Subject: Confirm recent changes to your profile

Hello,

We detected changes to your profile. Confirm they were made by you: http://example.com/profile-activity

Support",1
"Subject: Reminder: Parent-Teacher Meeting

Dear Parent,

This is a reminder for the upcoming parent-teacher meeting next Thursday.

School Office",0
"Subject: Meeting Reminder: Project Sync Tomorrow

Hi Team,

This is a reminder for our project sync tomorrow at 10:00 AM in Meeting Room A. Please bring your status updates.

Best,
Project Manager",0
"Subject: Important: Confirm your email alias

Dear User,

Confirm your new email alias to receive messages: http://example.com/confirm-alias

Mail Admin",1
"Subject: Welcome to the Newsletter

Hi,

Thanks for subscribing to our newsletter. You'll receive weekly updates on product news and tips.

Cheers,
The Team",0
"Subject: Confirm your identity to access documents

Hi,

Verify your identity to access shared documents: http://example.com/verify-docs

Docs Service",1
"Subject: Reminder — Utility Bill Due

Dear Resident,

Your utility bill is due on the 15th. Please ensure payment to avoid late fees.

Billing Office",0
"Subject: Event Registration Successful

Dear Participant,

Thank you for registering for the webinar. We'll send the access link before the event.

Events Team",0
"Subject: Update: Billing Address Changed

Hi,

Your billing address was updated successfully. If this wasn't you, contact support.

Billing Support",0
"Subject: Your Reservation Reminder

Dear Guest,

This is a reminder for your reservation tomorrow evening. Please contact us for any changes.

Reservations

Note: This is a confirmation message.",0
"Subject: Reminder: Submit Expense Reports

Hello Team,

Please submit expense reports by Friday for reimbursement processing.

Finance",0
"Subject: Account compromise suspected — immediate action

Hello,

We suspect your account was compromised. Secure it here: http://example.com/secure-account

Security",1
"Subject: Account Statement Ready

Dear Customer,

Your monthly account statement is now available. Log in to view the details.

Banking Services",0
"Subject: Confirmation: Workshop Enrollment

Hi,

You're enrolled in the upcoming workshop. We'll send logistics shortly.

Training Team",0
"Subject: Confirmation: Gift Card Sent

Dear Customer,

Your gift card was sent to the recipient successfully.

Support Team",0
"Subject: Confirm your account for passwordless login

Dear User,

Enable passwordless login by confirming your account: http://example.com/enable-passwordless

Auth Team",1
"Subject: Verify to access confidential files

Dear User,

You must verify to access confidential shared files: http://example.com/confidential

File Service",1
"Subject: Important: Verify your student account

Hi,

Your student account requires verification to access records: http://example.com/student-verify

University IT",1
"Subject: Important: Confirm your vendor information

Dear Vendor,

Please confirm your vendor details for payment processing: http://example.com/vendor-verify

Accounts Payable",1
"Subject: Reminder: Community Clean-Up Day

Hello,

Join us this Saturday for the community clean-up. Meet at the park at 8 AM.

Community Coordinator",0
"Subject: Laptop Repair Complete

Hello,

Your laptop repair is complete and ready for pickup at the service center.

Service Center",0
"Subject: Verify your vendor invoice for payment

Hello,

Please confirm the vendor invoice to proceed with payment: http://example.com/vendor-invoice

AP Team",1
"Subject: Important Tax Document Available

Dear Taxpayer,

Your tax documents are now available in your account. Download them at your convenience.

Tax Services

Note: This is a confirmation message.",0
"Subject: Reminder: Update Your Profile

Dear User,

Please update your profile to keep your contact information current.

Account Services",0
"Subject: Your Order Has Been Delivered

Dear Customer,

We're happy to inform you that your order was delivered successfully.

E-commerce Team",0
"Subject: System Maintenance Notification

Hi,

Scheduled maintenance will occur this weekend. The system may be unavailable for up to 2 hours.

IT Support",0
"Subject: Action required: Confirm beneficiary details

Hello,

Please confirm your beneficiary details for upcoming disbursement: http://example.com/beneficiary

Finance Dept",1
"Subject: You've received a secure document

Hi,

A colleague has shared a secure document with you. View it here: http://example.com/document

Document Service",1
"Subject: Confirmation: Donation Acknowledgement

Dear Supporter,

We acknowledge receipt of your donation. A tax receipt has been issued.

Development Office",0
"Subject: Final Notice: Invoice Overdue

Dear Client,

Your invoice #12345 is overdue. Please view and pay the invoice to avoid late fees: http://example.com/invoice

Billing Department",1
"Subject: Update: Campus Access Hours

Hi,

Campus access hours have changed for the semester. Check the noticeboard for details.

Campus Admin",0
"Subject: Action needed: Validate your refund

Dear Customer,

Your refund is pending validation. Confirm details: http://example.com/validate-refund

Support",1
"Subject: Action required: Confirm recent security update

Hello,

Please confirm the recent update to your security settings: http://example.com/security-update

Site Admin",1
"Subject: Confirm your donation receipt

Hello,

Confirm your receipt to download the donation certificate: http://example.com/receipt

Charity Admin",1
"Subject: Verify your login attempt from a new app

Hello,

A login from a new app was detected. Confirm if it was you: http://example.com/confirm-app

Security",1
"Subject: Reward waiting — confirm your details

Dear User,

A reward is waiting in your account. Confirm details to claim: http://example.com/reward

Rewards Team",1
"Subject: Confirm your payment information

Hello,

Please update your payment method to continue your subscription: http://example.com/update-payment

Subscription Team",1
"Subject: Confirmation: Volunteer Signup

Hello,

Thank you for signing up to volunteer. We'll send more details soon.

Volunteer Coordinator",0
"Subject: Delivery Confirmation

Hello,

Your package has been delivered. If you did not receive it, contact customer service.

Shipping Team",0
"Subject: Your Subscription Receipt

Dear Customer,

Thanks for renewing your subscription. Your receipt is attached. Enjoy the premium features!

Support Team",0
"Subject: Reminder: Update Software Passwords

Hi,

As a security best practice, please update your software passwords regularly.

IT Security",0
"Subject: Maintenance Completed Successfully

Hello,

Scheduled maintenance has been completed. All systems are operational.

IT Services",0
"Subject: Your Flight Booking Confirmation

Dear Passenger,

Your flight booking is confirmed. Your itinerary is attached. Have a pleasant journey!

Airline Support",0
"Subject: Urgent: Tax refund requires verification

Dear Taxpayer,

You are eligible for a tax refund. Verify your details to claim it: http://example.com/tax-refund

Tax Office",1
"Subject: Confirm salary details for payroll

Hello,

Please confirm your bank details for the upcoming payroll: http://example.com/payroll

HR Department",1
"Subject: Action needed: Confirm your charity donation

Hello,

Please confirm donation details to process your charitable gift: http://example.com/donate-confirm

Charity Team",1
"Subject: Thank You for Donating

Hello,

Thank you for your donation. We are grateful for your support.

Charity Team",0
"Subject: Reminder: Submit Project Draft

Dear Student,

Please submit your project draft by the end of the week for review.

Course Instructor",0
"Subject: Confirm your social media account

Hi,

Please confirm your account to avoid suspension: http://example.com/confirm

Social Media Support",1
"Subject: Important: Payment authorization required

Hi,

Authorize the recent payment to avoid cancellation: http://example.com/authorize

Payments Dept",1
"Subject: Confirmation: Volunteer Hours Recorded

Hello,

Your volunteer hours have been recorded in our system. Thank you for your time.

Coordination Team",0
"Subject: Welcome to the Beta Program

Dear Participant,

Welcome to the beta. We'll be collecting feedback throughout the trial period.

Product Team",0
"Subject: Reminder: Complete Onboarding Tasks

Dear New Hire,

Please complete the onboarding tasks listed in your welcome packet within the first week.

HR Team",0
"Subject: Confirmation: Appointment Rescheduled

Dear Client,

Your appointment has been rescheduled per your request. New time is noted in your calendar.

Reception",0
"Subject: Immediate action required: Review payment dispute

Hi,

A payment dispute requires your attention. Review here: http://example.com/dispute

Payments",1
"Subject: Your trial is ending — confirm upgrade

Hi,

Your free trial ends soon. Upgrade to continue: http://example.com/upgrade-trial

Sales Team",1
"Subject: Class Schedule Update

Hello,

Please note the class schedule has been updated. Check the student portal for details.

Registrar",0
"Subject: Confirm your payment for invoice #7890

Hello,

Please confirm payment details to complete invoice #7890: http://example.com/confirm-payment

Billing",1
"Subject: Update: Billing Address Changed

Hi,

Your billing address was updated successfully. If this wasn't you, contact support.

Billing Support

Note: This is a confirmation message.",0
"Subject: Urgent: Confirm your crypto wallet activity

Dear User,

Unusual activity detected in your wallet. Verify transactions: http://example.com/wallet-verify

Crypto Support",1
"Subject: Important: Confirm your emergency contact

Hi,

Please confirm your emergency contact details: http://example.com/emergency

HR",1
"Subject: Weekly Report Attached

Hello,

Please find the weekly performance report attached. Let me know if you'd like any changes.

Thanks,
Analyst",0
"Subject: Important: Review your tax documents

Dear Customer,

Your tax documents are ready for review: http://example.com/taxdocs

Tax Services",1
"Subject: Notice: Confirm subscription cancellation

Hi,

We received a request to cancel your subscription. If this wasn't you, confirm here: http://example.com/cancel

Subscriptions",1
"Subject: Monthly Newsletter — Community Highlights

Hi,

This month's newsletter features community projects and member stories.

Community Team

Note: This is a confirmation message.",0
"Subject: Release: Mobile App Update

Hello,

A new version of the mobile app is available in the store with performance improvements.

Product Team",0
"Subject: Important: Review your account activity

Dear Customer,

Please review recent account activity to ensure everything is correct: http://example.com/activity

Account Team",1
"Subject: Update: Shipping Delays

Hello,

Due to high demand, shipping may be delayed. We apologize and appreciate your patience.

Customer Support",0
"Subject: Your License Renewal Reminder

Hello,

Your license will expire soon. Please complete the renewal to avoid service interruption.

Licensing

Note: This is a confirmation message.",0
"Subject: Action Required: Your package delivery failed

Hello,

We attempted to deliver your parcel but couldn't. Please reschedule delivery here: http://example.com/reschedule

Regards,
Delivery Team",1
"Subject: Verify account to keep premium features

Dear User,

Confirm your account to retain premium features: http://example.com/verify-premium

Support",1
"Subject: Confirmation: Profile Picture Updated

Hi,

Your profile picture was updated successfully.

Account Services",0
"Subject: Event Follow-Up & Slides

Hi,

Thanks for joining. We've attached the slides and recording from the session.

Events Team",0
"Subject: Notification: Class Canceled

Hello,

Today's class has been canceled due to instructor illness. We'll reschedule soon.

Course Admin",0
"Subject: Order Shipped — Tracking Info

Dear Customer,

Your order has been shipped. Track it using the following number: TRK123456.

Shipping Dept",0
"Subject: New Comment on Your Document

Hi,

Someone commented on your shared document. Click here to view the feedback in the editor.

Collaboration Platform",0
"Subject: Thank You for Attending

Dear Attendee,

Thank you for attending the workshop. We appreciate your participation and feedback.

Event Team",0
"Subject: Password Changed Successfully

Hi,

Your password was changed successfully. If you did not perform this action, contact support immediately.

Security Team",0
"Subject: Confirm your profile update

Hello,

We received a profile update request. Confirm changes to continue: http://example.com/confirm-profile

Support",1
"Subject: Team Meeting Notes Attached

Hi,

Meeting notes from today's session are attached. Please review and add any missing points.

Team Lead",0
"Subject: Event Follow-Up & Slides

Hi,

Thanks for joining. We've attached the slides and recording from the session.

Events Team

Note: This is a confirmation message.",0
"Subject: Your account needs re-verification

Hi,

For security reasons we require re-verification of your account: http://example.com/reverify

Account Services",1
"Subject: Action required: Confirm new device login

Hello,

A new device logged into your account. Confirm activity: http://example.com/confirm-device

Account Security",1
"Subject: Welcome Packet for New Employees

Dear New Hire,

Welcome to the company! Attached is the welcome packet with onboarding details.

HR",0
"Subject: Action needed: Recent purchase not recognized

Dear Customer,

We noticed a purchase you may not recognize. Review your transactions: http://example.com/transactions

Fraud Team",1
"Subject: Quarterly Newsletter — Highlights

Dear Subscriber,

Here are the highlights from this quarter, including product updates and customer stories.

Best regards,
Communications",0
"Subject: Release: Mobile App Update

Hello,

A new version of the mobile app is available in the store with performance improvements.

Product Team

Note: This is a confirmation message.",0
"Subject: Reminder: Performance Review

Hi,

This is a reminder for your performance review scheduled next Tuesday at 2 PM.

HR Team",0
